,Name,Album,Artist
0,Espresso,Espresso,Sabrina Carpenter
1,Calm Down,Summer Holidays - Good Vibes,Various Artists
2,The Door,I've Tried Everything But Therapy (Part 1),Teddy Swims
3,Mentirosa,Mentirosa,PANDIT
4,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone
5,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic
6,Until I Found You,Todo Ellos - Cantautores De Siempre,Various Artists
7,I Don't Wanna Wait,I Don't Wanna Wait,David Guetta
8,Rush,Rush,Ayra Starr
9,I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists
10,golden hour,golden hour,JVKE
11,Get Enough - Manuel Riva Remix,Get Enough,Fantomel
12,LUNCH,HIT ME HARD AND SOFT,Billie Eilish
13,Belong Together,Belong Together,Mark Ambor
14,"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists
15,Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach
16,Love Again,Love Again,MIRA
17,From the Islands (kompa pasión),From the Islands (kompa pasión),фрози
18,Nonsense,Música en todos lados,Various Artists
19,the boy is mine,eternal sunshine,Ariana Grande
20,Sunroof,Sunroof,Nicky Youre
21,Broke Woman,Broke Woman,Wudhouse
22,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé
23,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone
24,"yes, and?","yes, and?",Ariana Grande
25,UP,UP,INNA
26,Ring Ring,Ring Ring,MIRA
27,Nobody - from Kaiju No. 8,Nobody (from Kaiju No. 8),OneRepublic
28,Don't You Worry,Elevation,Black Eyed Peas
29,"24/7, 365",bright orange everglow,elijah woods
30,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy
31,No Friends,No Friends,Fantomel
32,Made You Look,Hot Summer Party Mix,Summer Hits
33,The Motto,I'm Coming out Tonight,Various Artists
34,The Drum,The Drum,Alan Walker
35,First Class,First Class,Jack Harlow
36,Duro,Duro,MIRA
37,Angel Baby,Angel Baby,Troye Sivan
38,Lil Boo Thang,Lil Boo Thang,Paul Russell
39,When I Get Old,When I Get Old,Christopher
40,My Universe,My Universe,Coldplay
41,Ladida,Ladida,MIRA
42,Solo,Hity na lato 2023,Various Artists
43,Rock My Body,Rock My Body,R3HAB
44,3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook
45,Light Switch,Light Switch,Charlie Puth
46,Two Feet,Two Feet,TOESUP
47,this is what falling in love feels like,this is what falling in love feels like,JVKE
48,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello
49,About Damn Time,About Damn Time,Lizzo
50,Do It Again,Do It Again,Ray Dalton
51,Come With Me,Come With Me,MIRA
52,Someday,Human (Deluxe),OneRepublic
53,I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello
54,Late Night Talking,Late Night Talking,Harry Styles
55,All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv
56,Bad Booty,Bad Booty,MIRA
57,Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris
58,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX
59,Single Soon,Single Soon,Selena Gomez
60,Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA
61,Angels,Angels,DAWN
62,24/7,CECE,Celina Sharma
63,Rush,Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Troye Sivan
64,Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams
65,B.O.T.A. (Baddest of Them All),Daily Pop Mix,Various Artists
66,Undress Your Soul,Undress Your Soul,Glitter Dream
67,Freeze,Freeze,Kygo
68,Sweetest Pie,Sweetest Pie,Megan Thee Stallion
69,Yummy (with Dhurata Dora & Stefflon Don),Yummy (with Dhurata Dora & Stefflon Don),INNA
70,Kiss Me,Songs of Sonder,Dermot Kennedy
71,Shades of Blue,Shades of Blue,Féa
72,lil' freak,lil' freak,bbno$
73,Before You,Pop Mania,Various Artists
74,Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift
75,Flowers Need Rain,Class Of 2022,Various Artists
76,Lonely World,Lonely World,K-391
77,Been Like This,Been Like This,Meghan Trainor
78,Celestial,Celestial,Ed Sheeran
79,Nobody Like Us,Nobody Like Us,Carine
80,Hold Me Closer,The Lockdown Sessions,Elton John
81,On My Love,On My Love,Zara Larsson
82,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX
83,Super Freaky Girl,Wake up happy 2023 | Good Morning,Various Artists
84,"Ring, Ring - Remix","Ring, Ring (Remix)",MIRA
85,Ayo Girl (Fayahh Beat) [feat. Rema],Ayo Girl (Fayahh Beat) [feat. Rema],Robinson
86,Lovin On Me,Lovin On Me,Jack Harlow
87,Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneé Rapp
88,We Could Be Together,We Could Be Together (feat. Daddy DJ),Gabry Ponte
89,Summer's Gone,Summer's Gone,Monoir
