,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Creep,Creep,ORYL
2,White Ferrari X I Know The End,White Ferrari X I Know The End,Erin LeCount
3,Six Feet Under,Six Feet Under,Billie Eilish
4,L.A.,ARC 003,Verskotzi
5,Secret Language,Secret Language,Tessa Rae
6,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
7,Sofa,Sofa,Hannah Ascher
8,Something to Write About,Standing Still,Ethan Senger
9,Never Loved Somebody,Never Loved Somebody,Kylie Rothfield
10,Heather,Kid Krow,Conan Gray
11,Ocean,Ocean,Oine
12,Circles,Hollywood's Bleeding,Post Malone
13,Loosing Interest,Passion & Confusion,Timmies
14,High - Slowed + Reverb,High,ORYL
15,It's You,YOU,Ali Gatie
16,Where Is My Mind?,Where Is My Mind?,ORYL
17,Better Now,Better Now,ORYL
18,Wicked Game,Wicked Game,Aidan Doran
19,Jocelyn Flores,17,XXXTENTACION
20,Everybody Dies In Their Nightmares,17,XXXTENTACION
21,How It Breaks,How It Breaks,Matt Bantle
22,Forest Walk,Forest Walk,PlantPup
23,No Coffee,Fuk,316
24,寒天,海海人生,青虫 aoi
25,Keep You Close,Keep You Close,ORYL
26,Heartbreak Anniversary,TAKE TIME,Giveon
27,I've Been Thinking,I've Been Thinking,Bone Nest
28,idfc,deadroses,blackbear
29,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
30,Someone Like You,21,Adele
31,Train Wreck,Back from the Edge,James Arthur
32,bad ones,TOO YOUNG TO BE SAD,Tate McRae
33,Arcade,Small Town Boy (Track By Track),Duncan Laurence
34,Tell Me Goodbye,Tell Me Goodbye,ORYL
35,r u ok,TOO YOUNG TO BE SAD,Tate McRae
36,Happier,÷ (Deluxe),Ed Sheeran
37,7 Years,Lukas Graham,Lukas Graham
38,slower,slower,Tate McRae
39,drivers license,drivers license,Olivia Rodrigo
40,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
41,Half A Man,A Place We Knew,Dean Lewis
42,1-800-273-8255,Everybody,Logic
43,take them all,take them all,christina munsey
44,Let It Go,Chaos And The Calm,James Bay
45,Spinning,Spinning,Trinity Sander
46,lovely (with Khalid),lovely (with Khalid),Billie Eilish
47,changes,?,XXXTENTACION
48,"i hate u, i love u (feat. olivia o'brien)",us,gnash
49,this is the end,this is the end,Foster
50,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
51,Kiss You,Kiss You,Steph Devine
52,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
53,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
54,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
55,High,High,ORYL
56,Be Alright,A Place We Knew,Dean Lewis
57,Can We Kiss Forever?,Can We Kiss Forever?,Kina
58,If The World Was Ending,If The World Was Ending,JP Saxe
59,my future,my future,Billie Eilish
60,All I Want,All I Want,Aidan Doran
61,Nude,In Rainbows,Radiohead
62,Angel,Angel,Ben Swissa
63,At My Worst,The Prelude,Pink Sweat$
64,Fix You,X&Y,Coldplay
65,XO,i think you think too much of me,EDEN
66,Coaster,American Teen,Khalid
67,The Scientist,The Scientist,Aidan Doran
68,Not About Angels,Not About Angels,Birdy
69,Let Her Go,All The Little Lights,Passenger
70,Save Your Tears,After Hours,The Weeknd
71,Breathe Me,Colour The Small One,Sia
72,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
73,Let You Down,Perception,NF
74,Say You Won't Let Go,Back from the Edge,James Arthur
75,I Need You,I Need You,ORYL
76,Moonlight,YOU,Ali Gatie
77,You're Beautiful,Back to Bedlam,James Blunt
78,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
79,Yellow,Parachutes,Coldplay
80,Feel,Escapology,Robbie Williams
81,you broke me first,you broke me first,Tate McRae
82,No Surprises,OK Computer,Radiohead
83,All of Me,Love In The Future (Expanded Edition),John Legend
84,you were good to me (bonus track),love is not dying,Jeremy Zucker
85,Lie,Perception,NF
86,this is how you fall in love,brent ii,Jeremy Zucker
87,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
88,better off,glisten,Jeremy Zucker
89,a fireplace,a fireplace,Photography
90,ATLAS,ATLAS,JOLENE
91,If You Want Love,Perception,NF
92,I Fall Apart,Stoney - Deluxe,Post Malone
93,Skinny Love,Birdy,Birdy
94,What I Need,What I Need,ORYL
95,Can I Be Him,Back from the Edge,James Arthur
96,what did you expect,what did you expect,Brianna Bollinger
97,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
98,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
99,Let Me Down Slowly,Narrated For You,Alec Benjamin
