,Name,Album,Artist
0,Die With A Smile,Die With A Smile,Lady Gaga
1,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish
2,Who,MUSE,Jimin
3,Taste,Short n' Sweet,Sabrina Carpenter
4,Espresso,Short n' Sweet,Sabrina Carpenter
5,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan
6,The Emptiness Machine,The Emptiness Machine,Linkin Park
7,Please Please Please,Short n' Sweet,Sabrina Carpenter
8,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,KAROL G
9,Beautiful Things,Fireworks & Rollerblades,Benson Boone
10,Heavy Is the Crown,Heavy Is the Crown,Linkin Park
11,Bed Chem,Short n' Sweet,Sabrina Carpenter
12,Too Sweet,Unreal Unearth: Unaired,Hozier
13,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims
14,A Bar Song (Tipsy),"Where I've Been, Isn't Where I'm Going",Shaboozey
15,The Night We Met,Strange Trails,Lord Huron
16,Sweater Weather,I Love You.,The Neighbourhood
17,Yellow,Parachutes,Coldplay
18,I Wanna Be Yours,AM,Arctic Monkeys
19,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 - Music from the HBO Original Series,The Weeknd
20,Guess featuring Billie Eilish,Guess featuring Billie Eilish,Charli xcx
21,WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish
22,Numb,Meteora,Linkin Park
23,I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,Post Malone
24,Sailor Song,Sailor Song,Gigi Perez
25,Gata Only,EL COMIENZO,FloyyMenor
26,we can't be friends (wait for your love),eternal sunshine,Ariana Grande
27,HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan
28,FE!N (feat. Playboi Carti),UTOPIA,Travis Scott
29,End of Beginning,DECIDE,Djo
30,MILLION DOLLAR BABY,MILLION DOLLAR BABY,Tommy Richman
31,Not Like Us,Not Like Us,Kendrick Lamar
32,i like the way you kiss me,yustyna,Artemas
33,Después De La 1,MJ,Cris Mj
34,"I Love You, I'm Sorry",The Secret of Us,Gracie Abrams
35,PELIGROSA,EL COMIENZO,FloyyMenor
36,Big Dawgs,Big Dawgs,Hanumankind
37,Cruel Summer,Lover,Taylor Swift
38,Iris,Dizzy up the Girl,The Goo Goo Dolls
39,Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook
40,EL LOKERON,INCÓMODO,Tito Double P
41,LUNA,FERXXOCALIPSIS,Feid
42,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,No Strings Attached,*NSYNC
43,LA PATRULLA,ÉXODO,Peso Pluma
44,Stargazing,Stargazing,Myles Smith
45,Embrace It,Embrace It,Ndotz
46,NIGHTS LIKE THIS,THE FIRST TIME,The Kid LAROI
47,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator"
48,UWAIE,UWAIE,Kapo
49,Austin (Boots Stop Workin'),What Happens Now?,Dasha
